Property.Revenue.Quartile,Total Students,M&O: Per-Pupil Property Taxes,M&O: Per-Pupil Other Local Revenues,M&O: Per-Pupil Classroom Site & Instructional Improvement Funds,M&O: Per-Pupil Unrestricted State Funds,M&O: Per-Pupil State Equalization Aid,M&O: Per-Pupil Additional State Aid,Non M&O: Per-Pupil Local Revenues,Non M&O: Per-Pupil State Revenues
Quartile 1,176873,1062.3968771378334,473.9899624024018,586.499308373805,38.30630882045309,4240.736921576498,142.35987686079844,394.14724904309867,129.92058533524056
Quartile 2,458080,2394.937391809291,403.19835118319946,539.7333183505065,34.39364364303179,3190.3992054226337,439.96319297939226,851.8346175122249,84.46270638316452
Quartile 3,230554,3817.131146802918,363.05284597100894,590.6063477970454,45.53606465296633,2321.02281196596,520.7621368095978,1568.6898251168923,50.956426130104006
Quartile 4,62675,6051.910821220583,450.727591065018,637.4787353809335,47.731556761069,1637.2792850418828,960.4406862385321,1837.2590690067811,259.1253930594336
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
