EntityID,LEA Name,County,Total: Total,"Local, Intermediate, State: Total",Total: M&O - Operations,"Local, Intermediate, State: M&O - Operations",Total: M&O - Other,"Local, Intermediate, State: M&O - Other",Total: M&O and CSF & IIF - Operations,"Local, Intermediate, State: M&O and CSF & IIF - Operations",Total: M&O and CSF & IIF - Other,"Local, Intermediate, State: M&O and CSF & IIF - Other",Total Property Revenue,Total Students,Percent Asian,Percent Black,Percent Hispanic,Percent White,Percent SPED,Percent ELL,Percent Poverty,Percent Non-White,ELL Grouping,Non-White Grouping,Poverty Grouping,Black Grouping,Hispanic Grouping,SPED Grouping,Per-Pupil Revenue: Total,Per-Pupil Revenue: Maintenance & Operations,Per-Pupil Property Revenue,Property Revenue Quartile,Property Tax Rate
4467,Sedona-Oak Creek JUSD #9,Yavapai,15719885.12,14992990.57,6646845,6646845,9073040.12,8346145.57,7217264,7217264,8502621.12,7775726.57,565654130,515,0,0,0.637651822,0.325910931,0.153398058,0.124271845,0.129911788,0.674089069,Quartile 4,Quartile 3,Quartile 1,"Quartiles 1, 2, & 3",Quartile 3,Quartile 3,29112.60305,14014.10485,1098357.534,Quartile 4,2.3019
4468,Bagdad Unified District,Yavapai,7126348,6754235,3554863,3554863,3571485,3199372,3837592,3837592,3288756,2916643,76993278,465,0,0,0.3200883,0.6401766,0.223655914,0,0.10421286,0.3598234,Quartiles 1 & 2,Quartile 1,Quartile 1,"Quartiles 1, 2, & 3",Quartile 2,Quartile 4,14525.23656,8252.886022,165576.9419,Quartile 3,4.038
4469,Humboldt Unified District,Yavapai,50709786.3,42898020,31975307,31975307,18734479.3,10922713,35078395,35078395,15631391.3,7819625,421367383,5561,0.007384726,0.00648415,0.336995677,0.603746398,0.130012588,0.037762992,0.190673828,0.396253602,Quartile 3,Quartile 2,Quartile 2,"Quartiles 1, 2, & 3",Quartile 2,Quartile 2,7714.083798,6307.929329,75771.8725,Quartile 2,4.9072
4470,Camp Verde Unified District,Yavapai,13510157.82,11522016.47,9512500.22,9512500.22,3997657.6,2009516.25,10392740.18,10392740.18,3117417.64,1129276.29,73946580,1575,0,0,0.328205128,0.541666667,0.122539683,0.041269841,0.197286603,0.458333333,Quartile 3,Quartile 2,Quartile 2,"Quartiles 1, 2, & 3",Quartile 2,Quartile 2,7315.566013,6598.565194,46950.20952,Quartile 2,4.4446
4471,Ash Fork Joint Unified District,Yavapai,4321538,3942289,3294732,3294732,1026806,647557,3463945,3463945,857593,478344,29486912,267,0,0,0.473076923,0.526923077,0.157303371,0.056179775,0.213740458,0.473076923,Quartile 3,Quartile 2,Quartile 2,"Quartiles 1, 2, & 3",Quartile 3,Quartile 3,14765.12734,12973.57678,110437.8727,Quartile 3,8.4894
4472,Seligman Unified District,Yavapai,3458517,3296770,2584260,2584260,874257,712510,2666645,2666645,791872,630125,34688936,98,0,0,0.292134831,0.573033708,0.163265306,0,0.25,0.426966292,Quartiles 1 & 2,Quartile 2,Quartile 3,"Quartiles 1, 2, & 3",Quartile 2,Quartile 3,33640.5102,27210.66327,353968.7347,Quartile 4,7.7237
4473,Mayer Unified School District,Yavapai,6026067.57,5057423.77,4065918,4065918,1960149.57,991505.77,4383399,4383399,1642668.57,674024.77,35024675,517,0,0,0.216535433,0.710629921,0.203094778,0,0.349640288,0.289370079,Quartiles 1 & 2,Quartile 1,Quartile 4,"Quartiles 1, 2, & 3",Quartile 2,Quartile 4,9782.251006,8478.528046,67745.98646,Quartile 2,5.1508
4474,Chino Valley Unified District,Yavapai,19696217.96,17082334.39,13793808,13793808,5902409.96,3288526.39,15062799,15062799,4633418.96,2019535.39,186781801,2347,0.005148005,0,0.300729301,0.661518662,0.156369834,0.035790371,0.134841363,0.338481338,Quartile 3,Quartile 1,Quartile 1,"Quartiles 1, 2, & 3",Quartile 2,Quartile 3,7278.37,6417.894759,79583.21304,Quartile 3,4.2808
4475,NA,Yavapai,300843,298213,280242,280242,20601,17971,280242,280242,20601,17971,17194335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7107
4476,NA,Yavapai,16124,15197,11477,11477,4647,3720,11477,11477,4647,3720,4156359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2959
